,n_eval,hv_value
385,38600,0.3194676
386,38700,0.3194677
387,38800,0.3194677
388,38900,0.3194677
389,39000,0.3194678
390,39100,0.3194679
391,39200,0.3194679
392,39300,0.3194679
393,39400,0.3194679
394,39500,0.3194679
395,39600,0.3194684
396,39700,0.3194689
397,39800,0.3194691
398,39900,0.3194691
399,40000,0.3194692
400,40100,0.3194741
401,40200,0.3194741
402,40300,0.3194741
403,40400,0.3194747
404,40500,0.3194747
405,40600,0.3194747
406,40700,0.3194754
407,40800,0.3194754
408,40900,0.3194757
409,41000,0.3194772
410,41100,0.319478
411,41200,0.319478
412,41300,0.319492
413,41400,0.3194924
414,41500,0.3194925
415,41600,0.3194925
416,41700,0.3194925
417,41800,0.319495
418,41900,0.319495
419,42000,0.3194954
420,42100,0.3194961
421,42200,0.3194963
422,42300,0.3194963
423,42400,0.3194963
424,42500,0.3194963
425,42600,0.3194979
426,42700,0.3194979
427,42800,0.3194979
428,42900,0.3194979
429,43000,0.3194988
430,43100,0.3194988
431,43200,0.3194988
432,43300,0.3194992
433,43400,0.3194995
434,43500,0.3194995
435,43600,0.3195037
436,43700,0.3195049
437,43800,0.3195053
438,43900,0.3195053
439,44000,0.3195053
440,44100,0.3195062
441,44200,0.3195062
442,44300,0.3195062
443,44400,0.3195063
444,44500,0.3195063
445,44600,0.3195063
446,44700,0.3195064
447,44800,0.3195067
448,44900,0.3195067
449,45000,0.3195067
450,45100,0.3195071
451,45200,0.3195071
452,45300,0.319508
453,45400,0.3195081
454,45500,0.3195085
455,45600,0.3195089
456,45700,0.3195091
457,45800,0.3195092
458,45900,0.3195092
459,46000,0.3195092
460,46100,0.3195092
461,46200,0.3195092
462,46300,0.3195093
463,46400,0.3195094
464,46500,0.3195094
465,46600,0.3195098
466,46700,0.3195098
467,46800,0.3195102
468,46900,0.3195104
469,47000,0.3195104
470,47100,0.3195105
471,47200,0.3195105
472,47300,0.3195105
473,47400,0.3195105
474,47500,0.3195106
475,47600,0.3195111
476,47700,0.3195111
477,47800,0.3195132
478,47900,0.3195132
479,48000,0.3195132
480,48100,0.3195132
481,48200,0.3195139
482,48300,0.3195165
483,48400,0.3195165
484,48500,0.3195169
485,48600,0.3195169
486,48700,0.3195169
487,48800,0.319517
488,48900,0.3195202
489,49000,0.3195202
490,49100,0.3195203
491,49200,0.3195215
492,49300,0.3195217
493,49400,0.3195218
494,49500,0.3195218
495,49600,0.3195218
496,49700,0.3195267
497,49800,0.3195296
498,49900,0.3195306
499,50000,0.3195306
500,50100,0.3195306
501,50200,0.3195308
502,50300,0.3195308
503,50400,0.3195321
504,50500,0.3195321
505,50600,0.3195325
506,50700,0.3195327
507,50800,0.3195338
508,50900,0.3195338
509,51000,0.3195339
510,51100,0.3195339
511,51200,0.3195339
512,51300,0.3195386
