lambda0_sms,lambda0_moead,lambda0_nsga3,lambda0_imia,lambda1_sms,lambda1_moead,lambda1_nsga3,lambda1_imia,lambda2_sms,lambda2_moead,lambda2_nsga3,lambda2_imia,lambda3_sms,lambda3_moead,lambda3_nsga3,lambda3_imia,lambda4_sms,lambda4_moead,lambda4_nsga3,lambda4_imia,lambda5_sms,lambda5_moead,lambda5_nsga3,lambda5_imia,lambda6_sms,lambda6_moead,lambda6_nsga3,lambda6_imia,lambda7_sms,lambda7_moead,lambda7_nsga3,lambda7_imia,lambda8_sms,lambda8_moead,lambda8_nsga3,lambda8_imia,lambda9_sms,lambda9_moead,lambda9_nsga3,lambda9_imia
0.3195688,0.0530971,0.3081562,0.318942,0.323106,0.0291628,0.3134866,0.3227683,0.487296,0.0344329,0.0507848,0.4882929,0.4951224,0.0616981,0.2683565,0.4947509,0.5150471,0.040424,0.3476411,0.5147374,0.5285148,0.0467718,0.3957134,0.5291177,0.5422542,0.0469103,0.2932432,0.5420532,0.5606108,0.0445551,0.3181066,0.5622469,0.5750297,0.0265088,0.1386151,0.5713367,0.5974263,0.0608442,0.3238893,0.5910523
0.3407754,0.02849,0.2652468,0.3401122,0.3227531,0.0250261,0.2263875,0.3415744,0.4892215,0.0321455,0.3376118,0.4867709,0.4974094,0.0455105,0.2387565,0.3489286,0.5162069,0.0306927,0.4047082,0.5122778,0.527804,0.0353783,0.3721456,0.525074,0.5422278,0.0368462,0.3136125,0.5413533,0.5660135,0.0325008,0.356871,0.5643796,0.5749047,0.0656599,0.2085926,0.5734647,0.5979171,0.0660892,0.3611033,0.598353
0.3200161,0.0416338,0.2076785,0.3385933,0.3238035,0.0362064,0.2977091,0.3388789,0.4874419,0.0240271,0.3152125,0.4886463,0.4951172,0.0645072,0.3323281,0.4948115,0.5157342,0.0786376,0.2177601,0.5117037,0.5284445,0.0536085,0.3492868,0.5269247,0.5472062,0.0373211,0.3518158,0.5447798,0.5642783,0.0432081,0.3547994,0.564139,0.5748162,0.0402612,0.3864107,0.5682723,0.5922116,0.3559209,0.2996328,0.5973704
0.3178256,0.0323711,0.0459265,0.3405135,0.3231159,0.0208232,0.280757,0.3207453,0.4874478,0.050527,0.278535,0.4892076,0.4951459,0.0413264,0.0974952,0.496637,0.5164054,0.0542942,0.3617645,0.5139937,0.5252055,0.0438129,0.3692524,0.5291818,0.542211,0.0322723,0.4389851,0.543936,0.5639813,0.0591722,0.3169673,0.5603545,0.5697976,0.0470778,0.3793384,0.5726198,0.5974856,0.0684122,0.3744397,0.5908923
0.3390471,0.0717634,0.2709974,0.3176033,0.3228092,0.0198022,0.1102712,0.3387484,0.4900758,0.0427201,0.1617285,0.4902589,0.4987451,0.2913058,0.2704261,0.4949995,0.516253,0.0685174,0.354546,0.5117385,0.5251761,0.0399813,0.2782969,0.5246725,0.5422303,0.0388049,0.1554274,0.5413998,0.5650496,0.0699376,0.3148673,0.5606628,0.5745896,0.0377202,0.3589652,0.5730277,0.597859,0.0660062,0.3181397,0.5969447
0.3408116,0.0647734,0.299182,0.3192579,0.3226565,0.0382366,0.2971198,0.3403934,0.4874446,0.0506626,0.3006218,0.4872576,0.498705,0.0421506,0.392219,0.4978893,0.5144817,0.0408985,0.3993758,0.5117365,0.5264538,0.0602852,0.3447713,0.5246554,0.5449476,0.0326522,0.3674105,0.5465742,0.5645346,0.0517413,0.3876609,0.5640426,0.5739549,0.0652319,0.3458993,0.5731781,0.5985448,0.0884955,0.2770829,0.5915501
0.3197901,0.0598652,0.2045249,0.3200522,0.3417943,0.0335371,0.1827089,0.3236479,0.4874404,0.0445206,0.3801264,0.4884991,0.4982531,0.0307874,0.3369996,0.4983053,0.5124632,0.0431443,0.3483521,0.5117627,0.5294431,0.0853772,0.3534075,0.5272814,0.5462438,0.0669447,0.344841,0.5427868,0.5661852,0.0401125,0.331423,0.5619096,0.5723879,0.0278084,0.3326767,0.5742181,0.5985911,0.1285543,0.3215766,0.5916182
0.3407549,0.0405174,0.2519513,0.3194114,0.3231531,0.0479166,0.2374539,0.3231223,0.4894209,0.0300318,0.3286153,0.4890772,0.4979834,0.059714,0.3004426,0.4949907,0.5124649,0.0383578,0.3032286,0.5117152,0.5290753,0.046246,0.3614812,0.5240818,0.5461494,0.05071,0.3416854,0.5449015,0.5659877,0.0446206,0.3607194,0.5635057,0.5687213,0.4035705,0.3641634,0.5741996,0.5983498,0.0257175,0.4035285,0.5959592
0.3195879,0.033329,0.0751478,0.3197545,0.3230655,0.11255,0.2856209,0.3416336,0.4873652,0.0442965,0.3802389,0.4867784,0.4974061,0.0415168,0.2938211,0.4982552,0.5124864,0.1374359,0.2644395,0.5119588,0.5293467,0.0361477,0.3362359,0.5249557,0.5460923,0.0471011,0.4044297,0.5454303,0.5642115,0.0466202,0.1491037,0.5599277,0.5749371,0.0547636,0.1349803,0.572695,0.5987911,0.0538886,0.4587545,0.5978729
0.3197782,0.033321,0.2915159,0.3387973,0.3227558,0.0326088,0.2865581,0.3228602,0.4900398,0.267569,0.3246721,0.488661,0.4961061,0.0518532,0.3645085,0.497084,0.5162992,0.0529712,0.3579286,0.5122734,0.5293572,0.0552378,0.1806772,0.5244599,0.5462444,0.0704532,0.418009,0.5413987,0.5623889,0.0281195,0.4022085,0.5639437,0.5674516,0.0246861,0.2104626,0.5715364,0.5960595,0.0392291,0.3407485,0.5910658
