Pmech_ann,Pmech_svr,Pmech_dtr,Pmech_rfr
0.00017730658579246275,0.00010801820753783687,0.00015914842384340985,0.00011789265833848105
4.155789705633298e-05,5.1305260107323576e-05,7.855441657086905e-05,4.228701587140421e-05
2.1345645607436198e-05,3.108388279806396e-05,6.241079666592006e-05,2.014533444837706e-05
1.1318204914702329e-05,3.51246908372185e-05,0.0001138824347758839,3.913479423351476e-05
1.3936148663677192e-05,3.193098493561009e-05,6.443466015510066e-05,2.3924538125544464e-05
2.981598872161428e-05,3.246748738818103e-05,5.8984585451476845e-05,2.4846012626723345e-05
4.2752479588363244e-05,6.269964233100845e-05,8.82761937778682e-05,5.0649811553128867e-05
2.172050315467247e-05,3.214586613892792e-05,5.871259700494892e-05,2.4265476137284157e-05
0.0001038774518229398,3.149533617495526e-05,5.971553275117247e-05,2.907311728797292e-05
2.3157853183522775e-05,3.311273043844082e-05,6.4943630713273e-05,2.5937170162804677e-05
0.0003272102781665636,0.00010801820753783687,0.00015860160829198972,0.00012205045433543767
3.620544379972564e-05,5.1305260107323576e-05,7.887115024644354e-05,4.133238849143383e-05
9.736010224651198e-06,3.108388279806396e-05,6.220891762748814e-05,2.322425506304999e-05
2.5411634880269008e-05,3.51246908372185e-05,9.014206183046614e-05,3.956387570818638e-05
